date,metric,value,source
2010-08-01,type_1_departments_major_ae,1138652.0,NHS England A&E
2010-08-01,emergency_admissions_via_type_1_ae,287438.0,NHS England A&E
2010-08-01,emergency_admissions_via_type_2_ae,5367.0,NHS England A&E
2010-08-01,emergency_admissions_via_type_3_and_4_ae,8081.0,NHS England A&E
2010-08-01,type_3_departments_other_ae_minor_injury_unit,559358.0,NHS England A&E
2010-08-01,total_emergency_admissions_via_ae,300886.0,NHS England A&E
2010-08-01,other_emergency_admissions_ie_not_via_ae,124816.0,NHS England A&E
2010-08-01,total_emergency_admissions,425702.0,NHS England A&E
2010-08-01,type_2_departments_single_specialty,54371.0,NHS England A&E
2010-08-01,number_of_patients_spending_4_hours_from_decision_to_admit_to_admission,3697.0,NHS England A&E
2010-08-01,number_of_patients_spending_12_hours_from_decision_to_admit_to_admission,1.0,NHS England A&E
2010-08-01,operational_standard_performance,0.95,NHS England A&E
2010-08-01,total_attendances,1752381.0,NHS England A&E
2010-09-01,total_emergency_admissions_via_ae,303207.0,NHS England A&E
2010-09-01,emergency_admissions_via_type_1_ae,293991.0,NHS England A&E
2010-09-01,emergency_admissions_via_type_2_ae,5543.0,NHS England A&E
2010-09-01,total_emergency_admissions,424900.0,NHS England A&E
2010-09-01,number_of_patients_spending_12_hours_from_decision_to_admit_to_admission,0.0,NHS England A&E
2010-09-01,emergency_admissions_via_type_3_and_4_ae,3673.0,NHS England A&E
2010-09-01,type_2_departments_single_specialty,55181.0,NHS England A&E
2010-09-01,type_1_departments_major_ae,1150728.0,NHS England A&E
2010-09-01,operational_standard_performance,0.95,NHS England A&E
2010-09-01,number_of_patients_spending_4_hours_from_decision_to_admit_to_admission,5907.0,NHS England A&E
2010-09-01,type_3_departments_other_ae_minor_injury_unit,550359.0,NHS England A&E
2010-09-01,total_attendances,1756268.0,NHS England A&E
2010-09-01,other_emergency_admissions_ie_not_via_ae,121693.0,NHS England A&E
2010-10-01,type_2_departments_single_specialty,54961.0,NHS England A&E
