quarter,value,metric,source,quadratic_trend,covid_pulse,post_covid_regime,post_covid_trend_break
2010-07-01,581429.0,emergency_admissions_via_type_1_ae,A&E,1.414874746343259,0,0,0
2010-10-01,919886.4285714288,emergency_admissions_via_type_1_ae,A&E,1.3039485662299477,0,0,0
2011-01-01,893403.8571428573,emergency_admissions_via_type_1_ae,A&E,1.1975499853049345,0,0,0
2011-04-01,885784.4285714286,emergency_admissions_via_type_1_ae,A&E,1.0956790035682198,0,0,0
2011-07-01,880010.9999999998,emergency_admissions_via_type_1_ae,A&E,0.9983356210198036,0,0,0
2011-10-01,916391.4285714288,emergency_admissions_via_type_1_ae,A&E,0.9055198376596858,0,0,0
2012-01-01,923450.1428571428,emergency_admissions_via_type_1_ae,A&E,0.8172316534878664,0,0,0
2012-04-01,924605.0,emergency_admissions_via_type_1_ae,A&E,0.7334710685043455,0,0,0
2012-07-01,925350.7142857144,emergency_admissions_via_type_1_ae,A&E,0.654238082709123,0,0,0
2012-10-01,954189.142857143,emergency_admissions_via_type_1_ae,A&E,0.5795326961021989,0,0,0
2013-01-01,933387.857142857,emergency_admissions_via_type_1_ae,A&E,0.5093549086835732,0,0,0
2013-04-01,929156.0,emergency_admissions_via_type_1_ae,A&E,0.443704720453246,0,0,0
2013-07-01,936315.285714286,emergency_admissions_via_type_1_ae,A&E,0.3825821314112172,0,0,0
2013-10-01,970713.0,emergency_admissions_via_type_1_ae,A&E,0.3259871415574868,0,0,0
2014-01-01,967745.7142857142,emergency_admissions_via_type_1_ae,A&E,0.2739197508920549,0,0,0
2014-04-01,992654.7142857144,emergency_admissions_via_type_1_ae,A&E,0.2263799594149214,0,0,0
2014-07-01,980193.8571428572,emergency_admissions_via_type_1_ae,A&E,0.1833677671260863,0,0,0
2014-10-01,1025228.2857142856,emergency_admissions_via_type_1_ae,A&E,0.1448831740255497,0,0,0
2015-01-01,981002.4285714286,emergency_admissions_via_type_1_ae,A&E,0.1109261801133115,0,0,0
2015-04-01,995136.7142857144,emergency_admissions_via_type_1_ae,A&E,0.0814967853893717,0,0,0
2015-07-01,1003270.0,emergency_admissions_via_type_1_ae,A&E,0.0565949898537303,0,0,0
2015-10-01,1039186.0,emergency_admissions_via_type_1_ae,A&E,0.0362207935063874,0,0,0
2016-01-01,1045021.0,emergency_admissions_via_type_1_ae,A&E,0.0203741963473429,0,0,0
2016-04-01,1038795.0,emergency_admissions_via_type_1_ae,A&E,0.0090551983765968,0,0,0
2016-07-01,1044688.0,emergency_admissions_via_type_1_ae,A&E,0.0022637995941492,0,0,0
2016-10-01,1075245.0,emergency_admissions_via_type_1_ae,A&E,0.0,0,0,0
2017-01-01,1045456.0,emergency_admissions_via_type_1_ae,A&E,0.0022637995941492,0,0,0
2017-04-01,1073501.0,emergency_admissions_via_type_1_ae,A&E,0.0090551983765968,0,0,0
2017-07-01,1078250.0,emergency_admissions_via_type_1_ae,A&E,0.0203741963473429,0,0,0
