date,value,metric,source
2023-11-01,19079781,attended_face_to_face,NHS Digital GP Appointments Data
2023-12-01,15341113,attended_face_to_face,NHS Digital GP Appointments Data
2024-01-01,19423097,attended_face_to_face,NHS Digital GP Appointments Data
2024-02-01,18055063,attended_face_to_face,NHS Digital GP Appointments Data
2024-03-01,17352994,attended_face_to_face,NHS Digital GP Appointments Data
2024-04-01,17724612,attended_face_to_face,NHS Digital GP Appointments Data
2024-05-01,17639680,attended_face_to_face,NHS Digital GP Appointments Data
2024-06-01,16440175,attended_face_to_face,NHS Digital GP Appointments Data
2024-07-01,17869806,attended_face_to_face,NHS Digital GP Appointments Data
2024-08-01,15920275,attended_face_to_face,NHS Digital GP Appointments Data
2024-09-01,17409766,attended_face_to_face,NHS Digital GP Appointments Data
2024-10-01,23330108,attended_face_to_face,NHS Digital GP Appointments Data
2024-11-01,18320973,attended_face_to_face,NHS Digital GP Appointments Data
2024-12-01,16160461,attended_face_to_face,NHS Digital GP Appointments Data
2025-01-01,18983538,attended_face_to_face,NHS Digital GP Appointments Data
2025-02-01,17023273,attended_face_to_face,NHS Digital GP Appointments Data
2025-03-01,17941035,attended_face_to_face,NHS Digital GP Appointments Data
2025-04-01,16678873,attended_face_to_face,NHS Digital GP Appointments Data
2025-05-01,16592401,attended_face_to_face,NHS Digital GP Appointments Data
2025-06-01,17310973,attended_face_to_face,NHS Digital GP Appointments Data
2025-07-01,18401885,attended_face_to_face,NHS Digital GP Appointments Data
2025-08-01,15308915,attended_face_to_face,NHS Digital GP Appointments Data
2025-09-01,18061147,attended_face_to_face,NHS Digital GP Appointments Data
2025-10-01,23090833,attended_face_to_face,NHS Digital GP Appointments Data
2025-11-01,17436307,attended_face_to_face,NHS Digital GP Appointments Data
2025-12-01,16939051,attended_face_to_face,NHS Digital GP Appointments Data
2026-01-01,18014320,attended_face_to_face,NHS Digital GP Appointments Data
2026-02-01,16948820,attended_face_to_face,NHS Digital GP Appointments Data
2026-03-01,18589886,attended_face_to_face,NHS Digital GP Appointments Data
2026-04-01,16943375,attended_face_to_face,NHS Digital GP Appointments Data
2023-11-01,277470,attended_home_visit,NHS Digital GP Appointments Data
2023-12-01,233609,attended_home_visit,NHS Digital GP Appointments Data
2024-01-01,307413,attended_home_visit,NHS Digital GP Appointments Data
2024-02-01,286974,attended_home_visit,NHS Digital GP Appointments Data
2024-03-01,274353,attended_home_visit,NHS Digital GP Appointments Data
2024-04-01,296193,attended_home_visit,NHS Digital GP Appointments Data
2024-05-01,300070,attended_home_visit,NHS Digital GP Appointments Data
2024-06-01,271468,attended_home_visit,NHS Digital GP Appointments Data
2024-07-01,297812,attended_home_visit,NHS Digital GP Appointments Data
2024-08-01,271600,attended_home_visit,NHS Digital GP Appointments Data
2024-09-01,282698,attended_home_visit,NHS Digital GP Appointments Data
2024-10-01,367561,attended_home_visit,NHS Digital GP Appointments Data
2024-11-01,308577,attended_home_visit,NHS Digital GP Appointments Data
2024-12-01,282718,attended_home_visit,NHS Digital GP Appointments Data
2025-01-01,332577,attended_home_visit,NHS Digital GP Appointments Data
2025-02-01,287436,attended_home_visit,NHS Digital GP Appointments Data
2025-03-01,300567,attended_home_visit,NHS Digital GP Appointments Data
2025-04-01,307713,attended_home_visit,NHS Digital GP Appointments Data
2025-05-01,293541,attended_home_visit,NHS Digital GP Appointments Data
2025-06-01,298993,attended_home_visit,NHS Digital GP Appointments Data
2025-07-01,325976,attended_home_visit,NHS Digital GP Appointments Data
2025-08-01,269533,attended_home_visit,NHS Digital GP Appointments Data
2025-09-01,311028,attended_home_visit,NHS Digital GP Appointments Data
2025-10-01,384313,attended_home_visit,NHS Digital GP Appointments Data
2025-11-01,315765,attended_home_visit,NHS Digital GP Appointments Data
2025-12-01,316763,attended_home_visit,NHS Digital GP Appointments Data
2026-01-01,335083,attended_home_visit,NHS Digital GP Appointments Data
2026-02-01,305196,attended_home_visit,NHS Digital GP Appointments Data
2026-03-01,333622,attended_home_visit,NHS Digital GP Appointments Data
2026-04-01,333597,attended_home_visit,NHS Digital GP Appointments Data
2023-11-01,7498648,attended_telephone,NHS Digital GP Appointments Data
2023-12-01,6366072,attended_telephone,NHS Digital GP Appointments Data
2024-01-01,7957107,attended_telephone,NHS Digital GP Appointments Data
2024-02-01,7478471,attended_telephone,NHS Digital GP Appointments Data
2024-03-01,7270490,attended_telephone,NHS Digital GP Appointments Data
2024-04-01,7354360,attended_telephone,NHS Digital GP Appointments Data
2024-05-01,7273429,attended_telephone,NHS Digital GP Appointments Data
2024-06-01,6801093,attended_telephone,NHS Digital GP Appointments Data
2024-07-01,7492031,attended_telephone,NHS Digital GP Appointments Data
2024-08-01,6704048,attended_telephone,NHS Digital GP Appointments Data
2024-09-01,7062167,attended_telephone,NHS Digital GP Appointments Data
2024-10-01,7718952,attended_telephone,NHS Digital GP Appointments Data
2024-11-01,7148194,attended_telephone,NHS Digital GP Appointments Data
2024-12-01,6689168,attended_telephone,NHS Digital GP Appointments Data
2025-01-01,7776554,attended_telephone,NHS Digital GP Appointments Data
2025-02-01,6925371,attended_telephone,NHS Digital GP Appointments Data
2025-03-01,7356709,attended_telephone,NHS Digital GP Appointments Data
2025-04-01,6788025,attended_telephone,NHS Digital GP Appointments Data
2025-05-01,6800579,attended_telephone,NHS Digital GP Appointments Data
2025-06-01,7141239,attended_telephone,NHS Digital GP Appointments Data
2025-07-01,7581120,attended_telephone,NHS Digital GP Appointments Data
2025-08-01,6322034,attended_telephone,NHS Digital GP Appointments Data
2025-09-01,7404206,attended_telephone,NHS Digital GP Appointments Data
2025-10-01,7611869,attended_telephone,NHS Digital GP Appointments Data
2025-11-01,6859009,attended_telephone,NHS Digital GP Appointments Data
2025-12-01,7035715,attended_telephone,NHS Digital GP Appointments Data
2026-01-01,7437085,attended_telephone,NHS Digital GP Appointments Data
2026-02-01,6984952,attended_telephone,NHS Digital GP Appointments Data
2026-03-01,7659163,attended_telephone,NHS Digital GP Appointments Data
2026-04-01,6916977,attended_telephone,NHS Digital GP Appointments Data
2023-11-01,587316,attended_unknown,NHS Digital GP Appointments Data
2023-12-01,479065,attended_unknown,NHS Digital GP Appointments Data
2024-01-01,577077,attended_unknown,NHS Digital GP Appointments Data
2024-02-01,558354,attended_unknown,NHS Digital GP Appointments Data
2024-03-01,551768,attended_unknown,NHS Digital GP Appointments Data
2024-04-01,543182,attended_unknown,NHS Digital GP Appointments Data
2024-05-01,596289,attended_unknown,NHS Digital GP Appointments Data
2024-06-01,573224,attended_unknown,NHS Digital GP Appointments Data
2024-07-01,669280,attended_unknown,NHS Digital GP Appointments Data
