date,population
1971-01-01,55928000
1972-01-01,56096700
1973-01-01,56222900
1974-01-01,56235600
1975-01-01,56225700
1976-01-01,56216100
1977-01-01,56189900
1978-01-01,56178000
1979-01-01,56240100
1980-01-01,56329700
1981-01-01,56357500
1982-01-01,56290700
1983-01-01,56315700
1984-01-01,56409300
1985-01-01,56554000
1986-01-01,56683800
1987-01-01,56804000
1988-01-01,56916400
1989-01-01,57076500
1990-01-01,57237500
1991-01-01,57438700
1992-01-01,57584500
1993-01-01,57713900
1994-01-01,57862100
1995-01-01,58024800
1996-01-01,58164400
1997-01-01,58314200
1998-01-01,58474900
1999-01-01,58684400
2000-01-01,58886100
2001-01-01,59113000
2002-01-01,59365700
2003-01-01,59636700
2004-01-01,59950400
2005-01-01,60413300
2006-01-01,60827000
2007-01-01,61319100
2008-01-01,61823800
2009-01-01,62260500
2010-01-01,62759500
2011-01-01,63285100
2012-01-01,63710500
2013-01-01,64138200
2014-01-01,64618700
2015-01-01,65087000
2016-01-01,65605800
2017-01-01,65964300
2018-01-01,66286700
2019-01-01,66627500
2020-01-01,66739900
2021-01-01,66978000
2022-01-01,67636100
2023-01-01,68526200
2024-01-01,69281400
2025-01-01,69487000
