date,metric,value,source
2007-04-01,Completed admitted (unadjusted) RTT pathways - No. of pathways (all) with estimates for missing data,246013.0,NHS England RTT
2007-04-01,Completed admitted (unadjusted) RTT pathways - No. of pathways (all),246013.0,NHS England RTT
2007-04-01,Completed admitted (unadjusted) RTT pathways - Median wait (weeks),17.48846153846154,NHS England RTT
2007-04-01,Completed admitted (unadjusted) RTT pathways - No. > 52 weeks,21169.0,NHS England RTT
2007-04-01,Completed admitted (unadjusted) RTT pathways - No. within 18 weeks,94658.0,NHS England RTT
2007-05-01,Completed admitted (unadjusted) RTT pathways - No. of pathways (all),277540.0,NHS England RTT
2007-05-01,Completed admitted (unadjusted) RTT pathways - No. > 52 weeks,24605.0,NHS England RTT
2007-05-01,Completed admitted (unadjusted) RTT pathways - Median wait (weeks),16.66707202993452,NHS England RTT
2007-05-01,Completed admitted (unadjusted) RTT pathways - No. of pathways (all) with estimates for missing data,277540.0,NHS England RTT
2007-05-01,Completed admitted (unadjusted) RTT pathways - No. within 18 weeks,114950.0,NHS England RTT
2007-06-01,Completed admitted (unadjusted) RTT pathways - No. of pathways (all),285744.0,NHS England RTT
2007-06-01,Completed admitted (unadjusted) RTT pathways - No. of pathways (all) with estimates for missing data,285744.0,NHS England RTT
2007-06-01,Completed admitted (unadjusted) RTT pathways - No. > 52 weeks,25240.0,NHS England RTT
2007-06-01,Completed admitted (unadjusted) RTT pathways - No. within 18 weeks,121336.0,NHS England RTT
2007-06-01,Completed admitted (unadjusted) RTT pathways - Median wait (weeks),16.366990640658745,NHS England RTT
2007-07-01,Completed admitted (unadjusted) RTT pathways - Median wait (weeks),16.44645037493459,NHS England RTT
2007-07-01,Completed admitted (unadjusted) RTT pathways - No. within 18 weeks,123853.000001,NHS England RTT
2007-07-01,Completed admitted (unadjusted) RTT pathways - No. of pathways (all) with estimates for missing data,297504.000001,NHS England RTT
2007-07-01,Completed admitted (unadjusted) RTT pathways - No. of pathways (all),297504.000001,NHS England RTT
2007-07-01,Completed admitted (unadjusted) RTT pathways - No. > 52 weeks,24672.0,NHS England RTT
2007-08-01,Completed non-admitted RTT pathways - Median wait (weeks),7.351886307439959,NHS England RTT
2007-08-01,Completed admitted (unadjusted) RTT pathways - No. of pathways (all) with estimates for missing data,284512.0,NHS England RTT
2007-08-01,Completed non-admitted RTT pathways - No. within 18 weeks,605162.0,NHS England RTT
2007-08-01,Completed non-admitted RTT pathways - No. > 52 weeks,68141.0,NHS England RTT
2007-08-01,Completed non-admitted RTT pathways - No. of pathways (all),835346.0,NHS England RTT
2007-08-01,Incomplete RTT pathways - No. within 18 weeks with estimates for missing data,2395656.0,NHS England RTT
2007-08-01,Completed non-admitted RTT pathways - No. of pathways (all) with estimates for missing data,848812.5826086956,NHS England RTT
2007-08-01,Total completed pathways - Total completed pathways,1119858.0,NHS England RTT
2007-08-01,Incomplete RTT pathways - % within 18 weeks,0.5721688264603506,NHS England RTT
2007-08-01,Incomplete RTT pathways - Median wait (weeks),14.28778318509817,NHS England RTT
2007-08-01,Completed admitted (unadjusted) RTT pathways - No. of pathways (all),284512.0,NHS England RTT
2007-08-01,Completed admitted (unadjusted) RTT pathways - No. > 52 weeks,22188.0,NHS England RTT
2007-08-01,Incomplete RTT pathways - No. within 18 weeks,2395656.0,NHS England RTT
2007-08-01,Incomplete RTT pathways - No. > 18 weeks,1791318.0,NHS England RTT
2007-08-01,Completed admitted (unadjusted) RTT pathways - No. within 18 weeks,125334.0,NHS England RTT
2007-08-01,Completed admitted (unadjusted) RTT pathways - Median wait (weeks),15.588820826952526,NHS England RTT
2007-08-01,Incomplete RTT pathways - No. > 18 weeks with estimates for missing data,1791318.0,NHS England RTT
2007-08-01,Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,4186974.0,NHS England RTT
2007-08-01,Incomplete RTT pathways - Total waiting (mil),4186974.0,NHS England RTT
2007-08-01,Incomplete RTT pathways - % > 52 weeks with estimates for missing data,0.13821007725388312,NHS England RTT
2007-08-01,Incomplete RTT pathways - No. > 52 weeks,578682.0,NHS England RTT
2007-08-01,Incomplete RTT pathways - % > 52 weeks,0.13821007725388312,NHS England RTT
2007-08-01,Incomplete RTT pathways - % within 18 weeks with estimates for missing data,0.5721688264603506,NHS England RTT
2007-08-01,Total completed pathways - Total completed pathways with estimates,1133324.5826086956,NHS England RTT
2007-08-01,Incomplete RTT pathways - No. > 52 weeks with estimates for missing data,578682.0,NHS England RTT
2007-09-01,Incomplete RTT pathways - Median wait (weeks),13.354009517397209,NHS England RTT
2007-09-01,Completed admitted (unadjusted) RTT pathways - No. of pathways (all) with estimates for missing data,279421.0,NHS England RTT
2007-09-01,Incomplete RTT pathways - No. within 18 weeks,2364349.0,NHS England RTT
2007-09-01,Incomplete RTT pathways - % > 52 weeks,0.10049277670253613,NHS England RTT
2007-09-01,Total completed pathways - Total completed pathways,1124467.0,NHS England RTT
2007-09-01,Completed non-admitted RTT pathways - Median wait (weeks),7.524629745153763,NHS England RTT
2007-09-01,Completed admitted (unadjusted) RTT pathways - Median wait (weeks),15.341989220970113,NHS England RTT
2007-09-01,Total completed pathways - Total completed pathways with estimates,1126951.347826087,NHS England RTT
2007-09-01,Completed admitted (unadjusted) RTT pathways - No. of pathways (all),279421.0,NHS England RTT
2007-09-01,Incomplete RTT pathways - No. > 52 weeks with estimates for missing data,401725.0,NHS England RTT
2007-09-01,Completed admitted (unadjusted) RTT pathways - No. > 52 weeks,19441.0,NHS England RTT
2007-09-01,Completed admitted (unadjusted) RTT pathways - No. within 18 weeks,128145.0,NHS England RTT
2007-09-01,Incomplete RTT pathways - % > 52 weeks with estimates for missing data,0.10049277670253613,NHS England RTT
2007-09-01,Completed non-admitted RTT pathways - No. of pathways (all) with estimates for missing data,847530.3478260869,NHS England RTT
2007-09-01,Incomplete RTT pathways - % within 18 weeks,0.5914493648736439,NHS England RTT
2007-09-01,Completed non-admitted RTT pathways - No. > 52 weeks,70059.0,NHS England RTT
2007-09-01,Incomplete RTT pathways - No. > 18 weeks with estimates for missing data,1633202.0,NHS England RTT
2007-09-01,Incomplete RTT pathways - No. within 18 weeks with estimates for missing data,2364349.0,NHS England RTT
2007-09-01,Incomplete RTT pathways - No. > 52 weeks,401725.0,NHS England RTT
2007-09-01,Incomplete RTT pathways - % within 18 weeks with estimates for missing data,0.5914493648736439,NHS England RTT
2007-09-01,Completed non-admitted RTT pathways - No. within 18 weeks,607611.0,NHS England RTT
2007-09-01,Incomplete RTT pathways - Total waiting (mil),3997551.0,NHS England RTT
2007-09-01,Completed non-admitted RTT pathways - No. of pathways (all),845046.0,NHS England RTT
2007-09-01,Incomplete RTT pathways - No. > 18 weeks,1633202.0,NHS England RTT
2007-09-01,Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,3997551.0,NHS England RTT
2007-10-01,Incomplete RTT pathways - No. within 18 weeks with estimates for missing data,2337604.0,NHS England RTT
2007-10-01,Total completed pathways - Total completed pathways with estimates,1229902.0,NHS England RTT
2007-10-01,Completed admitted (unadjusted) RTT pathways - No. of pathways (all),319388.0,NHS England RTT
2007-10-01,Incomplete RTT pathways - No. > 18 weeks,1602217.0,NHS England RTT
2007-10-01,Completed admitted (unadjusted) RTT pathways - No. > 52 weeks,21086.0,NHS England RTT
2007-10-01,Completed non-admitted RTT pathways - No. of pathways (all) with estimates for missing data,910514.0,NHS England RTT
2007-10-01,Incomplete RTT pathways - % > 52 weeks with estimates for missing data,0.09826867768865641,NHS England RTT
2007-10-01,Completed non-admitted RTT pathways - No. of pathways (all),910514.0,NHS England RTT
2007-10-01,Completed non-admitted RTT pathways - No. > 52 weeks,68015.0,NHS England RTT
2007-10-01,Incomplete RTT pathways - No. > 52 weeks,387161.0,NHS England RTT
2007-10-01,Incomplete RTT pathways - % within 18 weeks,0.5933274633542996,NHS England RTT
2007-10-01,Incomplete RTT pathways - No. > 52 weeks with estimates for missing data,387161.0,NHS England RTT
2007-10-01,Completed non-admitted RTT pathways - No. within 18 weeks,668449.0,NHS England RTT
2007-10-01,Completed admitted (unadjusted) RTT pathways - Median wait (weeks),14.584119496855346,NHS England RTT
2007-10-01,Incomplete RTT pathways - Total waiting (mil),3939821.0,NHS England RTT
2007-10-01,Completed non-admitted RTT pathways - Median wait (weeks),6.711890429901981,NHS England RTT
2007-10-01,Incomplete RTT pathways - % within 18 weeks with estimates for missing data,0.5933274633542996,NHS England RTT
2007-10-01,Total completed pathways - Total completed pathways,1229902.0,NHS England RTT
2007-10-01,Incomplete RTT pathways - No. > 18 weeks with estimates for missing data,1602217.0,NHS England RTT
2007-10-01,Incomplete RTT pathways - Median wait (weeks),13.154119977713119,NHS England RTT
2007-10-01,Incomplete RTT pathways - % > 52 weeks,0.09826867768865641,NHS England RTT
2007-10-01,Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,3939821.0,NHS England RTT
2007-10-01,Completed admitted (unadjusted) RTT pathways - No. within 18 weeks,159995.0,NHS England RTT
2007-10-01,Incomplete RTT pathways - No. within 18 weeks,2337604.0,NHS England RTT
2007-10-01,Completed admitted (unadjusted) RTT pathways - No. of pathways (all) with estimates for missing data,319388.0,NHS England RTT
2007-11-01,Completed non-admitted RTT pathways - Median wait (weeks),6.155603683758683,NHS England RTT
2007-11-01,Completed non-admitted RTT pathways - No. of pathways (all),920948.0,NHS England RTT
2007-11-01,Incomplete RTT pathways - % within 18 weeks with estimates for missing data,0.5787837821988077,NHS England RTT
2007-11-01,Completed non-admitted RTT pathways - No. > 52 weeks,68021.0,NHS England RTT
2007-11-01,Incomplete RTT pathways - % > 52 weeks with estimates for missing data,0.10586920526002037,NHS England RTT
2007-11-01,Completed admitted (unadjusted) RTT pathways - No. of pathways (all) with estimates for missing data,313200.0,NHS England RTT
2007-11-01,Incomplete RTT pathways - % > 52 weeks,0.10586920526002037,NHS England RTT
2007-11-01,Completed admitted (unadjusted) RTT pathways - No. of pathways (all),313200.0,NHS England RTT
2007-11-01,Incomplete RTT pathways - No. > 18 weeks,1651994.0,NHS England RTT
2007-11-01,Completed admitted (unadjusted) RTT pathways - No. within 18 weeks,168956.0,NHS England RTT
2007-11-01,Incomplete RTT pathways - Total waiting (mil),3921962.0,NHS England RTT
2007-11-01,Total completed pathways - Total completed pathways,1234148.0,NHS England RTT
2007-11-01,Incomplete RTT pathways - Median wait (weeks),13.326543200113871,NHS England RTT
2007-11-01,Incomplete RTT pathways - No. > 18 weeks with estimates for missing data,1651994.0,NHS England RTT
2007-11-01,Completed non-admitted RTT pathways - No. of pathways (all) with estimates for missing data,920948.0,NHS England RTT
2007-11-01,Total completed pathways - Total completed pathways with estimates,1234148.0,NHS England RTT
2007-11-01,Completed admitted (unadjusted) RTT pathways - No. > 52 weeks,18096.0,NHS England RTT
2007-11-01,Incomplete RTT pathways - % within 18 weeks,0.5787837821988077,NHS England RTT
2007-11-01,Incomplete RTT pathways - No. > 52 weeks,415215.0,NHS England RTT
2007-11-01,Incomplete RTT pathways - No. within 18 weeks with estimates for missing data,2269968.0,NHS England RTT
2007-11-01,Incomplete RTT pathways - No. within 18 weeks,2269968.0,NHS England RTT
2007-11-01,Completed non-admitted RTT pathways - No. within 18 weeks,684129.0,NHS England RTT
2007-11-01,Completed admitted (unadjusted) RTT pathways - Median wait (weeks),13.438874345549738,NHS England RTT
2007-11-01,Incomplete RTT pathways - No. > 52 weeks with estimates for missing data,415215.0,NHS England RTT
2007-11-01,Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,3921962.0,NHS England RTT
2007-12-01,Total completed pathways - Total completed pathways with estimates,987029.0,NHS England RTT
2007-12-01,Incomplete RTT pathways - No. > 52 weeks with estimates for missing data,434188.0,NHS England RTT
2007-12-01,Incomplete RTT pathways - No. within 18 weeks,2173205.0,NHS England RTT
2007-12-01,Completed admitted (unadjusted) RTT pathways - No. within 18 weeks,151774.0,NHS England RTT
2007-12-01,Incomplete RTT pathways - Total waiting (mil),3853836.0,NHS England RTT
2007-12-01,Incomplete RTT pathways - No. > 18 weeks with estimates for missing data,1681130.0,NHS England RTT
2007-12-01,Completed admitted (unadjusted) RTT pathways - No. of pathways (all),246718.0,NHS England RTT
2007-12-01,Incomplete RTT pathways - % > 52 weeks,0.1126617738793244,NHS England RTT
2007-12-01,Total completed pathways - Total completed pathways,987029.0,NHS England RTT
2007-12-01,Completed non-admitted RTT pathways - Median wait (weeks),5.518964441671866,NHS England RTT
2007-12-01,Completed admitted (unadjusted) RTT pathways - Median wait (weeks),11.35430420711974,NHS England RTT
2007-12-01,Completed admitted (unadjusted) RTT pathways - No. of pathways (all) with estimates for missing data,246718.0,NHS England RTT
2007-12-01,Incomplete RTT pathways - No. > 18 weeks,1680631.0,NHS England RTT
2007-12-01,Incomplete RTT pathways - % within 18 weeks with estimates for missing data,0.5646248954701442,NHS England RTT
2007-12-01,Completed non-admitted RTT pathways - No. of pathways (all) with estimates for missing data,740311.0,NHS England RTT
2007-12-01,Incomplete RTT pathways - % within 18 weeks,0.5639069747648836,NHS England RTT
2007-12-01,Incomplete RTT pathways - No. > 52 weeks,434180.0,NHS England RTT
2007-12-01,Completed non-admitted RTT pathways - No. > 52 weeks,46800.0,NHS England RTT
2007-12-01,Completed non-admitted RTT pathways - No. within 18 weeks,568088.0,NHS England RTT
2007-12-01,Completed non-admitted RTT pathways - No. of pathways (all),740311.0,NHS England RTT
2007-12-01,Incomplete RTT pathways - No. within 18 weeks with estimates for missing data,2180207.0,NHS England RTT
2007-12-01,Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,3861337.0,NHS England RTT
2007-12-01,Incomplete RTT pathways - Median wait (weeks),14.282357862916829,NHS England RTT
2007-12-01,Incomplete RTT pathways - % > 52 weeks with estimates for missing data,0.11244498990893569,NHS England RTT
2007-12-01,Completed admitted (unadjusted) RTT pathways - No. > 52 weeks,12831.0,NHS England RTT
2008-01-01,Completed admitted (unadjusted) RTT pathways - No. of pathways (all) with estimates for missing data,300782.0,NHS England RTT
2008-01-01,Incomplete RTT pathways - % > 52 weeks,0.08717831996415261,NHS England RTT
2008-01-01,Incomplete RTT pathways - No. > 18 weeks,1359270.0,NHS England RTT
2008-01-01,Incomplete RTT pathways - No. within 18 weeks,2151167.0,NHS England RTT
2008-01-01,Incomplete RTT pathways - Median wait (weeks),12.278634851466592,NHS England RTT
2008-01-01,Incomplete RTT pathways - Total waiting (mil) with estimates for missing data,3510437.0,NHS England RTT
2008-01-01,Incomplete RTT pathways - No. > 52 weeks,306034.0,NHS England RTT
2008-01-01,Incomplete RTT pathways - % within 18 weeks with estimates for missing data,0.6127917977163527,NHS England RTT
2008-01-01,Incomplete RTT pathways - No. > 18 weeks with estimates for missing data,1359270.0,NHS England RTT
2008-01-01,Completed non-admitted RTT pathways - No. within 18 weeks,729751.0,NHS England RTT
2008-01-01,Incomplete RTT pathways - Total waiting (mil),3510437.0,NHS England RTT
2008-01-01,Total completed pathways - Total completed pathways,1209304.0,NHS England RTT
2008-01-01,Completed admitted (unadjusted) RTT pathways - Median wait (weeks),12.199922209257098,NHS England RTT
2008-01-01,Total completed pathways - Total completed pathways with estimates,1209304.0,NHS England RTT
2008-01-01,Completed non-admitted RTT pathways - 95th percentile (weeks),51.689360978925855,NHS England RTT
2008-01-01,Completed non-admitted RTT pathways - Median wait (weeks),5.915372940841686,NHS England RTT
2008-01-01,Incomplete RTT pathways - % > 52 weeks with estimates for missing data,0.08717831996415261,NHS England RTT
2008-01-01,Incomplete RTT pathways - % within 18 weeks,0.6127917977163527,NHS England RTT
2008-01-01,Completed non-admitted RTT pathways - No. of pathways (all),908522.0,NHS England RTT
2008-01-01,Completed non-admitted RTT pathways - No. > 52 weeks,43893.0,NHS England RTT
2008-01-01,Completed admitted (unadjusted) RTT pathways - No. within 18 weeks,194851.0,NHS England RTT
2008-01-01,Incomplete RTT pathways - No. > 52 weeks with estimates for missing data,306034.0,NHS England RTT
2008-01-01,Completed non-admitted RTT pathways - No. of pathways (all) with estimates for missing data,908522.0,NHS England RTT
2008-01-01,Completed admitted (unadjusted) RTT pathways - No. of pathways (all),300782.0,NHS England RTT
2008-01-01,Incomplete RTT pathways - No. within 18 weeks with estimates for missing data,2151167.0,NHS England RTT
2008-01-01,Completed admitted (unadjusted) RTT pathways - No. > 52 weeks,16013.0,NHS England RTT
2008-02-01,Incomplete RTT pathways - Total waiting (mil),3116073.0,NHS England RTT
2008-02-01,Incomplete RTT pathways - No. > 18 weeks,1091445.0,NHS England RTT
2008-02-01,Total completed pathways - Total completed pathways,1131380.0,NHS England RTT
2008-02-01,Total completed pathways - Total completed pathways with estimates,1131380.0,NHS England RTT
2008-02-01,Completed non-admitted RTT pathways - No. > 52 weeks,24688.0,NHS England RTT
2008-02-01,Incomplete RTT pathways - Median wait (weeks),10.521816991450358,NHS England RTT
2008-02-01,Completed non-admitted RTT pathways - No. within 18 weeks,707658.0,NHS England RTT
2008-02-01,Incomplete RTT pathways - No. > 52 weeks with estimates for missing data,253955.0,NHS England RTT
2008-02-01,Completed admitted (unadjusted) RTT pathways - No. > 52 weeks,9884.0,NHS England RTT
2008-02-01,Incomplete RTT pathways - % > 52 weeks with estimates for missing data,0.08149841162257752,NHS England RTT
2008-02-01,Incomplete RTT pathways - No. > 18 weeks with estimates for missing data,1091445.0,NHS England RTT
2008-02-01,Completed non-admitted RTT pathways - 95th percentile (weeks),39.70932982917213,NHS England RTT
2008-02-01,Completed admitted (unadjusted) RTT pathways - Median wait (weeks),10.790306503862446,NHS England RTT
2008-02-01,Incomplete RTT pathways - No. within 18 weeks,2024628.0,NHS England RTT
2008-02-01,Completed admitted (unadjusted) RTT pathways - No. within 18 weeks,215832.0,NHS England RTT
2008-02-01,Incomplete RTT pathways - No. within 18 weeks with estimates for missing data,2024628.0,NHS England RTT
2008-02-01,Completed non-admitted RTT pathways - No. of pathways (all) with estimates for missing data,832631.0,NHS England RTT
2008-02-01,Incomplete RTT pathways - % > 52 weeks,0.08149841162257752,NHS England RTT
2008-02-01,Completed admitted (unadjusted) RTT pathways - No. of pathways (all),298749.0,NHS England RTT
2008-02-01,Completed admitted (unadjusted) RTT pathways - 95th percentile (weeks),42.806372549019606,NHS England RTT
2008-02-01,Completed non-admitted RTT pathways - No. of pathways (all),832631.0,NHS England RTT
2008-02-01,Completed non-admitted RTT pathways - Median wait (weeks),4.484016513479965,NHS England RTT
2008-02-01,Completed admitted (unadjusted) RTT pathways - No. of pathways (all) with estimates for missing data,298749.0,NHS England RTT
2008-02-01,Incomplete RTT pathways - % within 18 weeks with estimates for missing data,0.6497370247744517,NHS England RTT
