date,metric,value,source
2009-09-30,FTE: All staff groups - All staff groups,1002298.10222,NHS England HCHS Workforce Statistics
2009-10-31,FTE: All staff groups - All staff groups,1007705.39772,NHS England HCHS Workforce Statistics
2009-11-30,FTE: All staff groups - All staff groups,1011465.3255,NHS England HCHS Workforce Statistics
2009-12-31,FTE: All staff groups - All staff groups,1010144.11795,NHS England HCHS Workforce Statistics
2010-01-31,FTE: All staff groups - All staff groups,1013070.11876,NHS England HCHS Workforce Statistics
2010-02-28,FTE: All staff groups - All staff groups,1014078.5709,NHS England HCHS Workforce Statistics
2010-03-31,FTE: All staff groups - All staff groups,1015642.02643,NHS England HCHS Workforce Statistics
2010-04-30,FTE: All staff groups - All staff groups,1012765.94392,NHS England HCHS Workforce Statistics
2010-05-31,FTE: All staff groups - All staff groups,1011082.8019,NHS England HCHS Workforce Statistics
2010-06-30,FTE: All staff groups - All staff groups,1010568.90484,NHS England HCHS Workforce Statistics
2010-07-31,FTE: All staff groups - All staff groups,1008952.85955,NHS England HCHS Workforce Statistics
2010-08-31,FTE: All staff groups - All staff groups,1010992.97289,NHS England HCHS Workforce Statistics
2010-09-30,FTE: All staff groups - All staff groups,1012217.29273,NHS England HCHS Workforce Statistics
2010-10-31,FTE: All staff groups - All staff groups,1013474.06901,NHS England HCHS Workforce Statistics
2010-11-30,FTE: All staff groups - All staff groups,1013965.33589,NHS England HCHS Workforce Statistics
2010-12-31,FTE: All staff groups - All staff groups,1010195.55909,NHS England HCHS Workforce Statistics
2011-01-31,FTE: All staff groups - All staff groups,1010967.25224,NHS England HCHS Workforce Statistics
2011-02-28,FTE: All staff groups - All staff groups,1010285.53705,NHS England HCHS Workforce Statistics
2011-03-31,FTE: All staff groups - All staff groups,1008281.07643,NHS England HCHS Workforce Statistics
2011-04-30,FTE: All staff groups - All staff groups,1000174.3606,NHS England HCHS Workforce Statistics
2011-05-31,FTE: All staff groups - All staff groups,997948.81472,NHS England HCHS Workforce Statistics
2011-06-30,FTE: All staff groups - All staff groups,995779.83093,NHS England HCHS Workforce Statistics
2011-07-31,FTE: All staff groups - All staff groups,992955.20475,NHS England HCHS Workforce Statistics
2011-08-31,FTE: All staff groups - All staff groups,992937.2153,NHS England HCHS Workforce Statistics
2011-09-30,FTE: All staff groups - All staff groups,993466.01067,NHS England HCHS Workforce Statistics
2011-10-31,FTE: All staff groups - All staff groups,994853.89882,NHS England HCHS Workforce Statistics
2011-11-30,FTE: All staff groups - All staff groups,993594.12615,NHS England HCHS Workforce Statistics
2011-12-31,FTE: All staff groups - All staff groups,990592.7961,NHS England HCHS Workforce Statistics
2012-01-31,FTE: All staff groups - All staff groups,992652.96673,NHS England HCHS Workforce Statistics
2012-02-29,FTE: All staff groups - All staff groups,985193.93966,NHS England HCHS Workforce Statistics
